@RELATION widgets

@ATTRIBUTE id NUMERIC
@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE in_stock {True, False}

@DATA
1,'Widget 1',5.33,False
2,'Widget 2',7.67,True
3,'Widget 3',10.0,False
4,'Widget 4',12.33,True
5,'Widget 5',14.67,False
6,'Widget 6',17.0,True
7,'Widget 7',19.33,False
8,'Widget 8',21.67,True
9,'Widget 9',24.0,False
10,'Widget 10',26.33,True
11,'Widget 11',28.67,False
12,'Widget 12',31.0,True
13,'Widget 13',33.33,False
14,'Widget 14',35.67,True
15,'Widget 15',38.0,False
16,'Widget 16',40.33,True
17,'Widget 17',42.67,False
18,'Widget 18',45.0,True
19,'Widget 19',47.33,False
20,'Widget 20',49.67,True
21,'Widget 21',52.0,False
22,'Widget 22',54.33,True
23,'Widget 23',56.67,False
24,'Widget 24',59.0,True
25,'Widget 25',61.33,False
26,'Widget 26',63.67,True
27,'Widget 27',66.0,False
28,'Widget 28',68.33,True
29,'Widget 29',70.67,False
30,'Widget 30',73.0,True
31,'Widget 31',75.33,False
32,'Widget 32',77.67,True
33,'Widget 33',80.0,False
34,'Widget 34',82.33,True
35,'Widget 35',84.67,False
36,'Widget 36',87.0,True
37,'Widget 37',89.33,False
38,'Widget 38',91.67,True
39,'Widget 39',94.0,False
40,'Widget 40',96.33,True
41,'Widget 41',98.67,False
42,'Widget 42',101.0,True
43,'Widget 43',103.33,False
44,'Widget 44',105.67,True
45,'Widget 45',108.0,False
46,'Widget 46',110.33,True
47,'Widget 47',112.67,False
48,'Widget 48',115.0,True
49,'Widget 49',117.33,False
50,'Widget 50',119.67,True
51,'Widget 51',122.0,False
52,'Widget 52',124.33,True
53,'Widget 53',126.67,False
54,'Widget 54',129.0,True
55,'Widget 55',131.33,False
56,'Widget 56',133.67,True
57,'Widget 57',136.0,False
58,'Widget 58',138.33,True
59,'Widget 59',140.67,False
60,'Widget 60',143.0,True
61,'Widget 61',145.33,False
62,'Widget 62',147.67,True
63,'Widget 63',150.0,False
64,'Widget 64',152.33,True
65,'Widget 65',154.67,False
66,'Widget 66',157.0,True
67,'Widget 67',159.33,False
68,'Widget 68',161.67,True
69,'Widget 69',164.0,False
70,'Widget 70',166.33,True
71,'Widget 71',168.67,False
72,'Widget 72',4.33,True
73,'Widget 73',6.67,False
74,'Widget 74',9.0,True
75,'Widget 75',11.33,False
76,'Widget 76',13.67,True
77,'Widget 77',16.0,False
78,'Widget 78',18.33,True
79,'Widget 79',20.67,False
80,'Widget 80',23.0,True
81,'Widget 81',25.33,False
82,'Widget 82',27.67,True
83,'Widget 83',30.0,False
84,'Widget 84',32.33,True
85,'Widget 85',34.67,False
86,'Widget 86',37.0,True
87,'Widget 87',39.33,False
88,'Widget 88',41.67,True
89,'Widget 89',44.0,False
90,'Widget 90',46.33,True
91,'Widget 91',48.67,False
92,'Widget 92',51.0,True
93,'Widget 93',53.33,False
94,'Widget 94',55.67,True
95,'Widget 95',58.0,False
96,'Widget 96',60.33,True
97,'Widget 97',62.67,False
98,'Widget 98',65.0,True
99,'Widget 99',67.33,False
100,'Widget 100',69.67,True
